Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(kmpl),Engine(CC),Power(bhp),Car_Age(Years),Price(in Lakhs),Brand,Model
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,5,16.8,1497.0,116.3,13,4.25,Honda,City Corporate
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,5,23.08,1461.0,63.1,13,4.25,Nissan,Micra Diesel
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,5,20.92,998.0,67.1,12,2.75,Maruti,Alto K10
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,5,17.5,1199.0,88.7,7,9.9,Honda,WRV i-VTEC
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,7,12.8,2494.0,102.0,18,4.0,Toyota,Innova 2.5
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,5,19.01,1461.0,108.45,12,7.75,Renault,Duster 110PS
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,5,14.53,1798.0,138.1,13,6.75,Toyota,Corolla Altis
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,7,11.18,2696.0,184.0,12,12.5,Mahindra,Ssangyong Rexton
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,5,12.4,2698.0,179.5,15,11.5,Audi,A6 2.7
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,5,16.09,1598.0,103.5,11,6.98,Volkswagen,Vento 1.6
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,5,14.0,1061.0,64.0,16,1.85,Maruti,Wagon R
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,5,24.3,1248.0,88.5,7,8.63,Maruti,Vitara Brezza
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,5,18.15,1198.0,82.0,8,4.85,Mahindra,KUV 100
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,5,11.74,2987.0,254.8,12,28.0,Mercedes-Benz,M-Class ML
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,5,22.07,1199.0,73.9,12,5.0,Volkswagen,Polo Diesel
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,5,19.7,796.0,46.3,17,1.25,Maruti,Alto LXi
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,4,25.4,624.0,37.5,11,1.53,Tata,Nano LX
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,6,25.32,1198.0,77.0,8,5.58,Mahindra,KUV 100
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,5,18.5,1197.0,82.9,11,4.74,Hyundai,i20 Magna
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,5,14.62,1999.0,149.92,11,8.85,Hyundai,Elantra 2.0
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,5,14.28,1798.0,138.03,9,10.11,Toyota,Corolla Altis
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,5,14.9,1991.0,112.2,17,4.25,Hyundai,Elantra CRDi
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,7,11.25,2694.0,163.7,13,10.95,Toyota,Innova Crysta
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,5,24.4,1120.0,71.0,11,3.85,Hyundai,Xcent 1.1
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,6,16.55,2498.0,105.0,13,5.5,Mahindra,Thar CRDe
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,5,17.11,1968.0,174.33,10,21.43,Audi,A4 2.0
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,5,22.9,1248.0,74.0,11,4.25,Maruti,Swift LDI
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,5,17.8,1248.0,75.0,11,3.3,Maruti,Swift Ldi
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,5,28.4,1248.0,74.0,12,3.85,Maruti,Swift VDI
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,5,18.9,1197.0,82.0,10,3.6,Hyundai,Grand i10
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,5,15.04,1598.0,103.2,10,3.99,Volkswagen,Vento 2013-2015
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,5,25.17,799.0,53.3,8,3.3,Renault,KWID RXT
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,5,20.36,1197.0,78.9,15,2.07,Hyundai,i10 Asta
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,5,13.29,1995.0,147.6,15,7.75,Nissan,X-Trail SLX
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,5,18.2,998.0,67.1,15,2.25,Maruti,Zen Estilo
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,8,13.68,2393.0,147.8,8,16.5,Toyota,Innova Crysta
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,5,20.0,1399.0,68.0,15,2.75,Ford,Figo Diesel
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,5,11.74,1796.0,186.0,10,26.7,Mercedes-Benz,New C-Class
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,5,15.8,2148.0,170.0,14,10.0,Mercedes-Benz,New C-Class
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,5,25.0,1396.0,69.0,9,2.5,Tata,Indica V2
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,5,16.55,1968.0,140.0,13,13.5,Audi,A4 2.0
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,5,16.4,1497.0,78.0,18,1.85,Honda,City ZX
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,5,0.0,1950.0,194.0,6,35.67,Mercedes-Benz,C-Class Progressive
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,7,24.52,1248.0,88.5,9,8.15,Maruti,Ertiga SHVS
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,5,22.1,1396.0,88.7,7,10.5,Hyundai,Creta 1.4
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,5,8.5,4806.0,500.0,17,14.5,Porsche,Cayenne 2009-2014
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,7,15.1,2179.0,140.0,10,9.65,Mahindra,XUV500 W8
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,5,16.95,1197.0,78.9,13,3.48,Hyundai,i10 Sportz
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,5,19.64,1461.0,108.5,10,6.92,Nissan,Terrano XV
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,5,16.5,1198.0,86.8,9,6.46,Honda,Brio VX
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,5,18.53,1968.0,187.74,11,29.5,Audi,A6 2.0
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,5,17.8,1399.0,0.0,17,2.0,Ford,Fiesta 1.4
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,8,12.4,1998.0,132.0,19,4.5,Toyota,Innova 2.0
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,7,12.8,2494.0,102.0,13,11.75,Toyota,Innova 2.5
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,5,0.0,1086.0,0.0,20,1.3,Hyundai,Santro Xing
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,5,22.9,1248.0,74.0,13,3.75,Maruti,Swift VDI
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,5,17.57,1193.0,88.7,8,4.5,Tata,Zest Revotron
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,5,18.0,1198.0,86.7,9,4.82,Honda,Amaze SX
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,5,20.0,1399.0,68.0,13,2.8,Ford,Figo Diesel
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,5,23.2,1248.0,73.94,12,3.11,Maruti,Ritz VDi
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,5,17.8,1497.0,117.3,16,3.25,Honda,City i
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,5,16.73,1995.0,218.0,14,13.9,BMW,5 Series
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,5,20.36,1197.0,78.9,16,2.25,Hyundai,i10 Sportz
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,5,18.9,1197.0,82.0,9,5.75,Hyundai,Grand i10
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,5,17.0,1086.0,0.0,18,2.1,Hyundai,Santro Xing
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,5,17.8,1198.0,86.7,9,5.0,Honda,Amaze SX
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,7,13.0,2982.0,168.5,11,16.5,Toyota,Fortuner 4x2
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,5,17.68,1968.0,174.33,7,39.58,Audi,A6 2011-2015
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,5,22.7,1498.0,89.84,12,5.5,Ford,Ecosport 1.5
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,7,15.1,2179.0,140.0,11,8.1,Mahindra,XUV500 W8
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,5,25.8,1498.0,98.6,10,3.5,Honda,Amaze SX
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,5,22.07,1199.0,73.9,12,2.79,Volkswagen,Polo Diesel
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,5,16.2,1493.0,110.0,15,3.45,Hyundai,Verna Transform
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,5,18.9,998.0,67.1,9,4.45,Maruti,Wagon R
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,5,15.26,1598.0,103.5,15,2.65,Volkswagen,Polo Petrol
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,5,23.0,1396.0,90.0,14,3.8,Hyundai,i20 1.4
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,5,18.5,1197.0,82.85,11,4.65,Hyundai,i20 Asta
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,7,19.83,1198.0,67.0,8,3.95,Datsun,GO Plus
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,5,14.94,2967.0,241.4,15,9.8,Audi,A4 3.0
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,5,17.0,1197.0,80.0,16,2.7,Hyundai,i20 2015-2017
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,5,14.0,796.0,35.0,15,2.41,Maruti,Omni 5
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,5,17.71,1197.0,78.9,11,3.9,Toyota,Etios Liva
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,5,14.74,2993.0,270.9,14,24.0,Jaguar,XF 3.0
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,7,16.0,2179.0,140.0,13,5.75,Mahindra,XUV500 W8
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,5,22.32,1582.0,126.32,11,5.25,Hyundai,Verna 1.6
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,7,11.36,2755.0,171.5,8,19.25,Toyota,Innova Crysta
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,5,15.1,1196.0,73.0,8,3.91,Maruti,Eeco 5
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,4,25.4,624.0,37.5,11,2.15,Tata,Nano Twist
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,5,22.69,1995.0,190.0,10,20.75,BMW,3 Series
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,5,13.5,1799.0,130.0,15,3.35,Honda,Civic 2006-2010
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,7,12.99,2494.0,100.6,11,11.11,Toyota,Innova 2.5
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,5,23.3,1984.0,150.0,11,20.0,Volvo,V40 Cross
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,5,19.15,1198.0,75.94,9,6.55,Nissan,Micra XV
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,5,10.8,2497.0,215.0,16,7.0,BMW,5 Series
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,5,24.3,1248.0,88.5,9,7.5,Maruti,Vitara Brezza
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,5,17.0,1086.0,0.0,20,0.85,Hyundai,Santro Xing
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,5,15.0,2143.0,107.3,11,16.75,Mercedes-Benz,B Class
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,5,22.0,1582.0,126.2,7,10.95,Hyundai,Verna CRDi
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,5,18.9,998.0,67.1,14,2.45,Maruti,Wagon R
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,4,21.9,624.0,37.48,8,3.23,Tata,Nano XTA
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,8,12.05,2179.0,120.0,11,7.75,Mahindra,Scorpio VLX
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,5,11.7,1796.0,178.0,16,9.35,Mercedes-Benz,New C-Class
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,5,26.6,998.0,58.16,12,3.25,Maruti,Wagon R
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,5,10.8,2354.0,152.0,18,5.25,Honda,CR-V 2.4
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,5,21.21,1498.0,103.2,10,7.25,Volkswagen,Vento 1.5
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,5,20.73,1373.0,91.1,8,7.47,Maruti,Ciaz VXi
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,7,16.0,2179.0,140.0,9,13.25,Mahindra,XUV500 AT
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,5,21.1,1197.0,85.8,9,5.81,Maruti,Ritz VXI
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,5,24.07,998.0,67.1,11,2.6,Maruti,Alto K10
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,2,19.0,2996.0,362.07,8,54.0,Mercedes-Benz,SLC 43
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,5,17.0,1591.0,121.3,6,11.5,Hyundai,Verna VTVT
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,5,19.7,796.0,46.3,15,1.6,Maruti,Alto LXi
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,5,20.58,1995.0,143.0,10,17.22,BMW,1 Series
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,5,19.0,1199.0,88.7,10,6.0,Honda,Jazz 1.2
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,5,13.5,1799.0,130.0,13,3.95,Honda,Civic 2006-2010
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,5,19.27,2143.0,170.0,11,17.95,Mercedes-Benz,New C-Class
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,5,25.8,1498.0,98.6,11,3.7,Honda,Amaze SX
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,5,22.0,1197.0,81.8,9,5.43,Maruti,Swift VVT
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,5,17.0,1086.0,0.0,17,1.67,Hyundai,Santro Xing
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,7,11.5,2982.0,171.0,13,13.49,Toyota,Fortuner 3.0
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,5,18.6,1199.0,76.8,11,2.85,Chevrolet,Beat LT
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,5,21.14,1498.0,103.52,12,4.75,Skoda,Rapid 1.5
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,5,20.73,1373.0,91.1,7,9.9,Maruti,Ciaz 1.4
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,4,11.05,2894.0,444.0,12,37.0,Audi,RS5 Coupe
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,5,21.76,1995.0,190.0,11,26.5,BMW,3 Series
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,5,17.11,1968.0,174.33,10,23.32,Audi,A4 2.0
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,5,22.9,1248.0,74.0,9,6.25,Maruti,Swift VDI
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,5,7.81,5461.0,362.9,15,30.0,Mercedes-Benz,S Class
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,5,21.66,1498.0,103.52,9,9.86,Skoda,Rapid 1.5
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,5,17.2,1968.0,138.1,13,8.5,Skoda,Superb Elegance
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,5,21.1,814.0,55.2,6,4.23,Hyundai,EON Magna
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,5,22.07,1199.0,73.9,13,3.5,Volkswagen,Polo Diesel
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,5,20.63,1198.0,67.06,9,2.5,Datsun,GO NXT
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,5,19.4,1198.0,86.8,12,2.39,Honda,Brio S
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,5,14.8,1595.0,120.7,12,11.25,Mercedes-Benz,B Class
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,5,26.0,1498.0,98.6,10,7.11,Honda,City i
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,7,12.99,2494.0,100.6,9,10.9,Toyota,Innova 2.5
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,5,20.4,1197.0,81.8,8,6.2,Maruti,Swift VXI
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,7,15.1,2179.0,140.0,13,7.9,Mahindra,XUV500 W8
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,5,22.7,1498.0,89.84,11,4.42,Ford,Ecosport 1.5
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,7,13.0,2982.0,168.5,13,13.5,Toyota,Fortuner 4x2
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,5,21.5,1498.0,108.5,12,6.25,Volkswagen,Vento 1.5
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,5,20.0,1399.0,68.0,15,2.1,Ford,Figo Diesel
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,5,15.3,2993.0,258.0,10,45.0,BMW,X5 xDrive
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,5,19.27,2143.0,167.62,8,33.66,Mercedes-Benz,New C-Class
Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,5,19.4,1198.0,86.8,13,3.65,Honda,Brio V
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,5,20.36,1197.0,78.9,12,2.75,Hyundai,i10 Magna
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,5,17.9,2143.0,170.0,9,42.5,Mercedes-Benz,GLC 220
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,5,18.9,1197.0,81.86,6,6.5,Hyundai,Grand i10
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,5,17.68,1968.0,174.33,13,19.0,Audi,A6 2011-2015
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,5,14.4,1598.0,103.6,12,4.45,Volkswagen,Vento Petrol
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,5,16.6,1998.0,112.0,8,23.0,Mini,Countryman Cooper
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,5,22.54,1396.0,88.73,11,8.35,Hyundai,i20 Asta
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,5,17.68,1968.0,174.33,11,22.95,Audi,A6 2011-2015
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,5,25.44,936.0,57.6,13,1.5,Chevrolet,Beat Diesel
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,5,13.7,1798.0,157.75,13,6.89,Skoda,Superb Elegance
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,5,17.8,1399.0,68.0,19,1.45,Ford,Fiesta 1.4
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,5,22.48,1995.0,190.0,11,33.5,BMW,5 Series
